function_name,simulation_id,success,execution_time,K_estimate,K_error,S0_y1_estimate,S1_y1_estimate,S0_y2_estimate,S1_y2_estimate,parameter_recovery_error,error_message,has_outliers,phase
fit_binding_lm,0,True,0.043395280838012695,9.770135837297715,0.467356797250032,30726.437177670257,30583.225284480046,-30260.68053460931,3923.1746255772737,6.847941919975528,,True,deterministic
fit_binding_lm_outlier,0,True,0.03989052772521973,9.770135837297715,0.467356797250032,30726.437177670257,30583.225284480046,-30260.68053460931,3923.1746255772737,6.847941919975528,,True,deterministic
fit_binding (lm),0,True,0.03568673133850098,9.770135837297715,0.467356797250032,30726.437177670257,30583.225284480046,-30260.68053460931,3923.1746255772737,6.847941919975528,,True,deterministic
fit_binding (lm_outlier),0,True,0.0359807014465332,9.770135837297715,0.467356797250032,30726.437177670257,30583.225284480046,-30260.68053460931,3923.1746255772737,6.847941919975528,,True,deterministic
fit_binding_glob,0,True,0.03881692886352539,9.770135837297715,0.467356797250032,30726.437177670257,30583.225284480046,-30260.68053460931,3923.1746255772737,6.847941919975528,,False,deterministic
fit_lm,0,True,0.03599214553833008,9.770135837297715,0.467356797250032,30726.437177670257,30583.225284480046,-30260.68053460931,3923.1746255772737,6.847941919975528,,True,deterministic
fit_lm (robust),0,True,0.059291839599609375,8.826697681882571,0.417146465746375,30333.28422104933,30743.252466181675,-16079.34569176162,4806.145639124148,3.9426945921938197,,True,deterministic
fit_lm (iterative),0,True,0.11716842651367188,9.382038544473843,0.00041800905990275225,29656.6440151652,30783.341028601466,-22228.9005100472,4193.160317472118,5.198240900018756,,True,deterministic
fit_lm (outlier),0,True,0.04009222984313965,9.770135837297715,0.467356797250032,30726.437177670257,30583.225284480046,-30260.68053460931,3923.1746255772737,6.847941919975528,,True,deterministic
outlier2,0,True,0.17719626426696777,8.650218593945459,0.24153615368587025,30312.710816006704,30715.91768389439,-16098.040495177513,5138.098924204441,3.939195097426782,,True,deterministic
core_recursive,0,True,0.1567394733428955,9.528735412662964,0.20439401443304434,30503.920508697793,30634.12001781279,-24294.125385936353,4147.882066126859,5.634551335649247,,True,deterministic
core_recursive_outlier,0,True,0.07490062713623047,9.528735412662964,0.20439401443304434,30503.920508697793,30634.12001781279,-24294.125385936353,4147.882066126859,5.634551335649247,,True,deterministic
core_reweighted,0,True,0.07460832595825195,9.44509935958267,0.3061652770730695,30477.134879353925,30638.590998657677,-23030.755417521537,4162.799428149409,5.378496756226317,,True,deterministic
api_recursive,0,True,0.0784769058227539,9.528735412662964,0.20439401443304434,30503.920508697793,30634.12001781279,-24294.125385936353,4147.882066126859,5.634551335649247,,True,deterministic
api_recursive_outlier,0,True,0.07483434677124023,9.528735412662964,0.20439401443304434,30503.920508697793,30634.12001781279,-24294.125385936353,4147.882066126859,5.634551335649247,,True,deterministic
api_reweighted,0,False,1.71661376953125e-05,,,,,,,,fit_binding_glob_reweighted() missing 1 required positional argument: 'key',True,deterministic
fit_binding_lm,1,True,0.03633522987365723,8.233694556872397,3.9988718372598377,29839.793774308513,29927.442338687564,4880.448503350391,2074.5598028001364,1.3897586028727567,,False,deterministic
fit_binding_lm_outlier,1,True,0.04003119468688965,8.233694556872397,3.9988718372598377,29839.793774308513,29927.442338687564,4880.448503350391,2074.5598028001364,1.3897586028727567,,True,deterministic
fit_binding (lm),1,True,0.03606271743774414,8.233694556872397,3.9988718372598377,29839.793774308513,29927.442338687564,4880.448503350391,2074.5598028001364,1.3897586028727567,,True,deterministic
fit_binding (lm_outlier),1,True,0.03659534454345703,8.233694556872397,3.9988718372598377,29839.793774308513,29927.442338687564,4880.448503350391,2074.5598028001364,1.3897586028727567,,True,deterministic
fit_binding_glob,1,True,0.039603471755981445,8.233694556872397,3.9988718372598377,29839.793774308513,29927.442338687564,4880.448503350391,2074.5598028001364,1.3897586028727567,,True,deterministic
