function_name,simulation_id,success,execution_time,K_estimate,K_error,S0_y1_estimate,S1_y1_estimate,S0_y2_estimate,S1_y2_estimate,parameter_recovery_error,error_message,has_outliers,phase
fit_binding_bayes,0,True,0.03652644157409668,9.770135837297715,0.467356797250032,30726.437177670257,30583.225284480046,-30260.68053460931,3923.1746255772737,6.847941919975528,,True,bayesian
fit_binding_bayes_perlabel,0,True,0.03870892524719238,9.770135837297715,0.467356797250032,30726.437177670257,30583.225284480046,-30260.68053460931,3923.1746255772737,6.847941919975528,,True,bayesian
fit_binding_pymc,0,True,17.543519973754883,10.717,0.439,31994.492,30582.218,-173697.249,3262.531,35.61229619466666,,True,bayesian
fit_binding_pymc2,0,True,18.470422983169556,9.649,0.066,30672.308,30588.697,-29172.608,4061.959,6.620441278666666,,True,bayesian
fit_binding_odr,0,True,0.03972125053405762,8.336533233467595,0.26440864969013245,30255.355314883705,30756.027582667117,-6326.954566332483,4462.416268525588,1.9912848113849482,,False,bayesian
fit_binding_odr_recursive,0,True,0.10143470764160156,8.447609319502908,0.29274765022558863,30223.97654080891,30788.02804907509,-8193.98181494152,4459.746275744831,2.3670035124317996,,True,bayesian
fit_binding_odr_recursive_outlier,0,True,0.2878420352935791,8.693156448665384,0.026509239015074487,30132.13678695095,30782.493255268113,-13756.13863879149,4251.924392476398,3.492481020074932,,True,bayesian
fit_binding_bayes,1,True,0.037073373794555664,8.233694556872397,3.9988718372598377,29839.793774308513,29927.442338687564,4880.448503350391,2074.5598028001364,1.3897586028727567,,False,bayesian
fit_binding_bayes_perlabel,1,True,0.040891408920288086,8.233694556872397,3.9988718372598377,29839.793774308513,29927.442338687564,4880.448503350391,2074.5598028001364,1.3897586028727567,,True,bayesian
fit_binding_pymc,1,True,82.17381191253662,24.005,37.477,29726.872,29825.002,5481.044,2874.652,1.896593485333333,,True,bayesian
fit_binding_pymc2,1,True,11.127838134765625,8.192,0.19,29840.06,29927.069,4840.957,2065.358,1.3811233373333334,,True,bayesian
fit_binding_odr,1,True,0.037062644958496094,8.870725712623,9.88119098603229,29663.35383832981,29925.184058734747,771.1802848548492,229.6855479268312,0.7466955473135608,,True,bayesian
fit_binding_odr_recursive,1,True,0.09472131729125977,32.54352823402193,1595534.032239041,-66725.51406439613,29797.86316664235,1289.5794852167917,-72.31524436159243,2.543954755013093,,True,bayesian
fit_binding_odr_recursive_outlier,1,True,0.29149436950683594,283.1559944234181,28394.286787463872,-87411712.43724184,29793.60431997321,1506927064.5260913,73.17925493734327,303141.27587889356,,False,bayesian
fit_binding_bayes,2,True,0.040709733963012695,10.999999999717115,1.6766654062307491,55015.26713079838,29462.753235813234,102364.2205170555,1063.0093083352488,21.506111394076193,,True,bayesian
fit_binding_bayes_perlabel,2,True,0.0419466495513916,10.999999999717115,1.6766654062307491,55015.26713079838,29462.753235813234,102364.2205170555,1063.0093083352488,21.506111394076193,,True,bayesian
fit_binding_pymc,2,True,113.92376947402954,23.877,9.88,469645.468,29728.153,7038615.394,2083.055,1417.3504733480002,,True,bayesian
fit_binding_pymc2,2,True,95.89201593399048,13.196,0.24,3890100.998,29475.589,16839771.932,1000.577,3445.750374257333,,True,bayesian
fit_binding_odr,2,True,0.04465651512145996,23.414093269850408,114051.53587544551,1000765.6218643576,29734.247354191084,4253265.133148683,344.35035788735945,870.960003883821,,True,bayesian
fit_binding_odr_recursive,2,True,0.11578607559204102,21.925795675234276,35090.02115790657,999313.6706630415,29673.261750049824,4062579.1443492784,366.4738112371592,832.7534381683397,,True,bayesian
fit_binding_odr_recursive_outlier,2,True,0.3968660831451416,11.471917842544519,12.095950345085173,104042.99651524855,29397.597933951427,-356200.8213760372,449.81932124345894,73.69135885006139,,True,bayesian
fit_binding_bayes,3,True,0.050467729568481445,5.0765185159841275,1.9726066273632359,29615.263721906096,32631.983922139672,2204.023209416346,12553.538057819153,1.0693496758526886,,True,bayesian
